область;назва;адреса;єдрпоу;lat;lon;place_id;formatted_address
ДНІПРОПЕТРОВСЬКА;"КНП ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" МОЗОЛЕВСЬКОЇ СІЛЬСЬКОЇ РАДИ";Україна, 53271, Дніпропетровська обл., Нікопольський р-н, село Воля, вул.Дружби, будинок 61 В;45875641;47,6928371;34,3263228;ChIJZdLHriFg20ARImi_n0AbE4E;Vul. Druzhby, Volia, Dnipropetrovs'ka oblast, Ukraine
ОДЕСЬКА;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""МЕДИЧНИЙ ДІМ ""ОДРЕКС""";Україна, 65006, Одеська обл., місто Одеса, вул.Розкидайлівська, будинок 69/71;45861272;46,4796378;30,7112842;ChIJjyYVrvMxxkAR_vvCn6qSFxQ;Rozkydailivs'ka St, Odesa, Odes'ka oblast, Ukraine, 65000
МИКОЛАЇВСЬКА;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""РЕАБІЛІТАЦІЙНИЙ ЦЕНТР ЕКОБІОМЕД""";Україна, 54018, Миколаївська обл., місто Миколаїв, вул.Миколаївська, будинок 25А, квартира 2;45856440;46,9454739;32,043511;ChIJa5ASoqHLxUARgpG8E42-6hI;Mykolaivska St, Mykolaiv, Mykolaivs'ka oblast, Ukraine, 54000
ХАРКІВСЬКА;"КНП ""ЦЕНТР СІМЕЙНОЇ МЕДИЦИНИ № 3"" ХАРКІВСЬКОЇ МІСЬКОЇ РАДИ";Україна, 61080, Харківська обл., місто Харків, вул.Сохора, будинок 5-А;45855159;49,9317986;36,2697101;ChIJi8dczdoKJ0ERdBMMJoLuhzk;Vul. Antonina Sokhora, Kharkiv, Kharkivs'ka oblast, Ukraine, 61000
ХАРКІВСЬКА;"КНП ""ЦЕНТР СІМЕЙНОЇ МЕДИЦИНИ №1"" ХАРКІВСЬКОЇ МІСЬКОЇ РАДИ";Україна, 61124, Харківська обл., місто Харків, пр.Аерокосмічний, будинок 137;45808800;49,933187;36,2619082;ChIJs5GKcM8KJ0ERgH4eDGNPHCs;Aerokosmichnyi Ave, Kharkiv, Kharkivs'ka oblast, Ukraine
ПОЛТАВСЬКА;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""СіМеД і К""";Україна, 39618, Полтавська обл., місто Кременчук, вул.Рєпіна, будинок 13;45800094;49,0829674;33,4562907;ChIJbfF6qqBT10ARH-0qj6YgLiU;Rjepina St, Kremenchuk, Poltavs'ka oblast, Ukraine, 39600
ХАРКІВСЬКА;"КНП ""ЦЕНТР СІМЕЙНОЇ МЕДИЦИНИ № 2"" ХАРКІВСЬКОЇ МІСЬКОЇ РАДИ";Україна, 61001, Харківська обл., місто Харків, пров.Руставелі, будинок 4А;45784387;50,0020127;36,3073994;ChIJiw-rY5-gJ0ERCr6kGmgYTC0;Kharkiv, Kharkiv Oblast, Ukraine
ЗАКАРПАТСЬКА;"КНП ""ЯСІНЯНСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" ЯСІНЯНСЬКОЇ СЕЛИЩНОЇ РАДИ";Україна, 90630, Закарпатська обл., Рахівський р-н, селище Ясіня, вул.Коцюбинського, будинок 25;45779183;48,2732929;24,3652119;ChIJDw9sfMgbN0cRG1lb4kYdVLA;Vul. Kotsyubynsʹkoho, Yasinia, Zakarpats'ka oblast, Ukraine, 90630
ХЕРСОНСЬКА;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""МЕДИКГРУП-ЛАЙФ""";Україна, 73025, Херсонська обл., місто Херсон, вул.Набєгова Романа, будинок 3, квартира 1;45765778;46,635417;32,616867;ChIJZ_mbXaIaxEAR_iExjoxHpfM;Kherson, Kherson Oblast, Ukraine, 73000
ЧЕРНІГІВСЬКА;Комунальне некомерційне підприємство «Центр первинної медико-санітарної допомоги № 1» Чернігівської міської ради;Україна, 14005, Чернігівська обл., місто Чернігів, пр.Миру, будинок 44;45753448;51,5177024;31,2753987;ChIJqf5MK4RI1UYRGCHVoVkLONE;Myru Ave, Chernihiv, Chernihivs'ka oblast, Ukraine, 14000
ВОЛИНСЬКА;"КНП ""ЦЕНТР ПЕРВИННОЇ МЕДИЧНОЇ ДОПОМОГИ ЛУЦЬКОЇ МІСЬКОЇ ТЕРИТОРІАЛЬНОЇ ГРОМАДИ""";Україна, 43010, Волинська обл., Луцький р-н, місто Луцьк, пр.Волі, будинок 66а;45751498;50,7453158;25,340458;ChIJjzL5pPCZJUcR23GQMuOwMmU;Voli Ave, Luts'k, Volyns'ka oblast, Ukraine, 43000
ХАРКІВСЬКА;"КНП ""ЦЕНТР СІМЕЙНОЇ МЕДИЦИНИ № 4"" ХАРКІВСЬКОЇ МІСЬКОЇ РАДИ";Україна, 61057, Харківська обл., місто Харків, вул.Сковороди Григорія, будинок 32;45750976;50,0938197;36,2162102;ChIJYTDSqLClJ0EREMSQjiN2R3Y;Vul. Hryhoriya Skovorody, Kharkivs'ka oblast, Ukraine, 62340
ЧЕРНІГІВСЬКА;Комунальне некомерційне підприємство «Центр первинної медико-санітарної допомоги № 2» Чернігівської міської ради;Україна, 14034, Чернігівська обл., місто Чернігів, пр.Грушевського Михайла, будинок 168 Б;45741542;51,522453;31,3125089;ChIJsw7Y8WxI1UYRd_KCKQV6WuE;Mykhaila Hrushevskoho Ave, Chernihiv, Chernihivs'ka oblast, Ukraine, 14000
